Code;Structure;Hemisphere;Structure mass(g);Cells;%NeuN+
A1;Cerebellum;Left;34;28025000;83.20%
A1;Cortex (Anterior);Left;17;2112500;39.69%
A1;Cortex (Posterior);Left;69;8043750;33.07%
A1;Hippocampus;Left;0.01;790000;41.60%
A1;Olfactory Bulb;Left;7;3456250;64.08%
A1;Rest of Brain;Left;67;6403125;23.02%
A2;Cerebellum;Left;31;20171875;85.85%
A2;Cortex (Anterior);Left;24;3504375;50.56%
A2;Cortex (Posterior);Left;48;8250000;50.29%
A2;Hippocampus;Left;16;2273438;43.12%
A2;Olfactory Bulb;Left;1;2050000;44.47%
A2;Rest of Brain;Left;64;9450000;22.79%
A3;Cerebellum;Left;42;23653125;83.99%
A3;Cortex (Anterior);Left;12;1531750;47.61%
A3;Cortex (Posterior);Left;74;8640625;42.06%
A3;Hippocampus;Left;17;1608750;26.42%
A3;Olfactory Bulb;Left;8;3618750;41.01%
A3;Rest of Brain;Left;61;5276250;25.48%
A4;Cerebellum;Left;31;20981250;86.25%
A4;Cortex (Anterior);Left;12;1568750;39.77%
A4;Cortex (Posterior);Left;58;5537500;30.54%
A4;Hippocampus;Left;12;1155000;28.74%
A4;Olfactory Bulb;Left;4;2856250;47.10%
A4;Rest of Brain;Left;61;8468750;31.47%
B1;Cerebellum;Left;39;23475000;80.69%
B1;Cortex (Anterior);Left;16;1968750;29.68%
B1;Cortex (Posterior);Left;76;7362500;36.35%
B1;Hippocampus;Left;8;825000;34.86%
B1;Olfactory Bulb;Left;5;4500000;49.54%
B1;Rest of Brain;Left;63;6268750;19.74%
B3;Cerebellum;Left;39;23737500;82.85%
B3;Cortex (Anterior);Left;19;1603125;39.84%
B3;Cortex (Posterior);Left;0.08;7893750;32.93%
B3;Hippocampus;Left;14;1362375;27.01%
B3;Olfactory Bulb;Left;8;3000000;56.83%
B3;Rest of Brain;Left;57;6253125;24.02%
B4;Cerebellum;Left;28;17650000;91.06%
B4;Cortex (Anterior);Left;15;1893750;34.95%
B4;Cortex (Posterior);Left;59;7350000;47.50%
B4;Hippocampus;Left;15;1793750;43.20%
B4;Olfactory Bulb;Left;1;3531250;48.90%
B4;Rest of Brain;Left;65;8367857;32.35%
C1;Cerebellum;Left;34;20100000;86.80%
C1;Cortex (Anterior);Left;13;1650000;36.20%
C1;Cortex (Posterior);Left;51;4750000;47.29%
C1;Hippocampus;Left;0.01;1015625;26.79%
C1;Olfactory Bulb;Left;4;3500000;56.00%
C1;Rest of Brain;Left;51;6675000;29.94%
C2;Cerebellum;Left;0.05;21731250;84.72%
C2;Cortex (Anterior);Left;13;1365500;32.09%
C2;Cortex (Posterior);Left;73;6993750;36.99%
C2;Hippocampus;Left;17;1368750;23.08%
C2;Olfactory Bulb;Left;3;1928125;46.67%
C2;Rest of Brain;Left;0.06;7012500;23.80%
C3;Cerebellum;Left;36;24593750;86.27%
C3;Cortex (Anterior);Left;21;2218750;37.65%
C3;Cortex (Posterior);Left;68;9500000;35.24%
C3;Hippocampus;Left;18;1781250;31.23%
C3;Olfactory Bulb;Left;9;3587500;46.29%
C3;Rest of Brain;Left;61;5390625;25.47%
D1;Cerebellum;Left;36;21318750;84.96%
D1;Cortex (Anterior);Left;13;3056250;47.84%
D1;Cortex (Posterior);Left;71;9028125;50.46%
D1;Hippocampus;Left;7;1465000;37.62%
